source,date,beds,rent,sqft,lat,lng,below_fmr
GoSection8,2021-05-01,2,1025,NA,30.307,-97.704,TRUE
GoSection8,2021-05-01,2,925,NA,30.373,-97.718,TRUE
GoSection8,2021-05-01,2,1058,NA,30.32,-97.705,TRUE
GoSection8,2021-05-01,1,1000,NA,30.2,-97.806,TRUE
GoSection8,2021-05-01,3,1200,NA,30.302,-97.651,TRUE
GoSection8,2021-05-01,1,945,NA,30.229,-97.759,TRUE
GoSection8,2021-05-01,2,1193,NA,30.228,-97.733,TRUE
GoSection8,2021-05-01,3,1373,NA,30.228,-97.733,TRUE
GoSection8,2021-05-01,3,1700,NA,30.533,-97.659,FALSE
GoSection8,2021-05-01,2,1040,NA,30.622,-97.67,TRUE
GoSection8,2021-05-01,3,1366,NA,30.022,-97.831,TRUE
GoSection8,2021-05-02,2,1099,NA,30.354,-97.724,TRUE
GoSection8,2021-05-02,2,1214,NA,30.394,-97.671,TRUE
GoSection8,2021-05-02,2,1350,NA,30.366,-97.744,TRUE
GoSection8,2021-05-02,1,1045,NA,30.366,-97.744,TRUE
GoSection8,2021-05-02,1,946,NA,30.354,-97.704,TRUE
GoSection8,2021-05-02,2,1199,NA,30.354,-97.704,TRUE
GoSection8,2021-05-02,1,995,NA,30.299,-97.674,TRUE
GoSection8,2021-05-02,2,1175,NA,30.299,-97.674,TRUE
GoSection8,2021-05-02,3,1375,NA,30.299,-97.674,TRUE
GoSection8,2021-05-02,1,900,NA,30.541,-97.671,TRUE
GoSection8,2021-05-03,3,1200,NA,30.203,-97.852,TRUE
GoSection8,2021-05-03,1,950,NA,30.156,-97.754,TRUE
GoSection8,2021-05-03,2,1399,NA,30.366,-97.744,TRUE
GoSection8,2021-05-03,2,1170,NA,30.456,-97.828,TRUE
GoSection8,2021-05-03,4,1499,NA,30.235,-97.719,TRUE
GoSection8,2021-05-03,2,1240,NA,30.236,-97.718,TRUE
GoSection8,2021-05-03,2,1100,NA,30.235,-97.719,TRUE
GoSection8,2021-05-03,3,1299,NA,30.235,-97.719,TRUE
GoSection8,2021-05-03,2,1240,NA,30.226,-97.752,TRUE
GoSection8,2021-05-03,1,961,NA,30.281,-97.71,TRUE
GoSection8,2021-05-03,1,935,NA,30.399,-97.846,TRUE
GoSection8,2021-05-03,1,850,NA,30.347,-97.7,TRUE
GoSection8,2021-05-03,1,860,NA,30.373,-97.73,TRUE
GoSection8,2021-05-03,2,1250,NA,30.136,-97.307,TRUE
GoSection8,2021-05-03,2,1173,NA,30.022,-97.831,TRUE
GoSection8,2021-05-04,1,1059,NA,30.345,-97.702,TRUE
GoSection8,2021-05-04,2,1254,NA,30.436,-97.674,TRUE
GoSection8,2021-05-04,1,974,NA,30.436,-97.674,TRUE
GoSection8,2021-05-04,3,1500,NA,30.194,-97.782,FALSE
GoSection8,2021-05-04,1,950,NA,30.39,-97.647,TRUE
GoSection8,2021-05-04,2,1271,NA,30.204,-97.756,TRUE
GoSection8,2021-05-04,2,1005,NA,30.501,-97.828,TRUE
GoSection8,2021-05-04,3,1325,NA,30.463,-97.694,TRUE
GoSection8,2021-05-04,2,1125,NA,30.463,-97.694,TRUE
GoSection8,2021-05-04,1,940,NA,30.463,-97.694,TRUE
GoSection8,2021-05-04,4,1635,NA,30.655,-97.673,TRUE
GoSection8,2021-05-05,2,1246,NA,30.191,-97.778,TRUE
GoSection8,2021-05-05,2,1291,NA,30.235,-97.756,TRUE
GoSection8,2021-05-05,3,1496,NA,30.235,-97.756,FALSE
GoSection8,2021-05-05,1,1093,NA,30.235,-97.756,TRUE
Zillow,2021-04-08,4,3900,2792,30.309,-97.938,FALSE
Zillow,2021-04-08,4,2150,2045,30.461,-97.683,FALSE
Zillow,2021-04-08,3,2195,1814,30.461,-97.584,FALSE
Zillow,2021-04-08,3,2200,1581,30.228,-97.711,FALSE
